Country,Admin1,Event month,Sub-Event Type,Events
Lebanon,Baalbek-Hermel,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-07-01,Air/drone strike,2
Lebanon,Bekaa,2024-07-01,Armed clash,0
Lebanon,Bekaa,2024-07-01,Attack,0
Lebanon,Bekaa,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-07-01,Air/drone strike,0
Lebanon,North,2024-07-01,Armed clash,0
Lebanon,North,2024-07-01,Attack,0
Lebanon,North,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-07-01,Air/drone strike,0
Lebanon,Beirut,2024-07-01,Armed clash,0
Lebanon,Beirut,2024-07-01,Attack,0
Lebanon,Beirut,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-07-01,Air/drone strike,0
Lebanon,Akkar,2024-07-01,Armed clash,0
Lebanon,Akkar,2024-07-01,Attack,0
Lebanon,Akkar,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-08-01,Air/drone strike,223
Lebanon,Al Nabatieh,2024-08-01,Armed clash,1
Lebanon,Al Nabatieh,2024-08-01,Attack,0
Lebanon,Al Nabatieh,2024-08-01,Shelling/artillery/missile attack,307
Lebanon,Al Nabatieh,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-08-01,Air/drone strike,97
Lebanon,South,2024-08-01,Armed clash,0
Lebanon,South,2024-08-01,Attack,0
Lebanon,South,2024-08-01,Shelling/artillery/missile attack,114
Lebanon,South,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-08-01,Air/drone strike,0
Lebanon,Mount Lebanon,2024-08-01,Armed clash,0
Lebanon,Mount Lebanon,2024-08-01,Attack,0
Lebanon,Mount Lebanon,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-08-01,Air/drone strike,7
Lebanon,Baalbek-Hermel,2024-08-01,Armed clash,0
Lebanon,Baalbek-Hermel,2024-08-01,Attack,0
Lebanon,Baalbek-Hermel,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,Baalbek-Hermel,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-08-01,Air/drone strike,0
Lebanon,Bekaa,2024-08-01,Armed clash,0
Lebanon,Bekaa,2024-08-01,Attack,0
Lebanon,Bekaa,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-08-01,Air/drone strike,1
Lebanon,North,2024-08-01,Armed clash,0
Lebanon,North,2024-08-01,Attack,0
Lebanon,North,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-08-01,Air/drone strike,0
Lebanon,Beirut,2024-08-01,Armed clash,0
Lebanon,Beirut,2024-08-01,Attack,0
Lebanon,Beirut,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-08-01,Air/drone strike,0
Lebanon,Akkar,2024-08-01,Armed clash,0
Lebanon,Akkar,2024-08-01,Attack,0
Lebanon,Akkar,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-09-01,Air/drone strike,643
Lebanon,Al Nabatieh,2024-09-01,Armed clash,0
Lebanon,Al Nabatieh,2024-09-01,Attack,1
Lebanon,Al Nabatieh,2024-09-01,Shelling/artillery/missile attack,211
Lebanon,Al Nabatieh,2024-09-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-09-01,Air/drone strike,490
Lebanon,South,2024-09-01,Armed clash,1
Lebanon,South,2024-09-01,Attack,0
Lebanon,South,2024-09-01,Shelling/artillery/missile attack,74
Lebanon,South,2024-09-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-09-01,Air/drone strike,34
Lebanon,Mount Lebanon,2024-09-01,Armed clash,0
Lebanon,Mount Lebanon,2024-09-01,Attack,0
Lebanon,Mount Lebanon,2024-09-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-09-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-09-01,Air/drone strike,156
Lebanon,Baalbek-Hermel,2024-09-01,Armed clash,0
